id,dc_number,,,,,,
90,DC-U1D22-2309252,,,,,,
91,DC-U1D22-2310270,,,,,,
92,DC-U1D22-2307677,,,,,,
93,DC-U1D22-2308295,,,,,,
94,DC-U1D22-2308532,,,,,,
95,DC-U1D22-2308550,,,,,,
96,DC-U1D22-2308573,,,,,,
97,DC-U1D22-2308789,,,,,,
98,DC-U1D22-2306019,,,,,,
99,DC-U1D22-2306061,,,,,,
100,DC-U1D22-2309683,,,,,,
101,DC-U1D22-2309750,,,,,,
102,DC-U1D22-2309781,,,,,,
103,DC-U1D22-2309812,,,,,,
104,DC-U1D22-2309926,,,,,,
105,DC-U1D22-2309959,,,,,,
106,DC-U1D22-2310080,,,,,,
107,DC-U1D22-2310124,,,,,,
108,DC-U1D22-2310264,,,,,,
109,DC-U1D22-2309784,,,,,,
110,DC-U1D22-2309810,,,,,,
111,DC-U1D22-2310233,,,,,,
112,DC-U1D22-2310269,,,,,,
113,DC-U1D22-2309717,,,,,,
114,DC-U1D22-2309917,,,,,,
115,DC-U1D22-2310038,,,,,,
116,DC-U1D22-2310072,,,,,,
117,DC-U1D22-2310121,,,,,,
118,DC-U1D22-2310145,,,,,,
119,DC-U1D22-2310178,,,,,,
120,DC-U1D22-2310113,,,,,,
121,DC-U1D22-2310148,,,,,,
122,DC-U1D22-2310179,,,,,,
123,DC-U1D22-2310227,,,,,,
124,DC-U1D22-2310268,,,,,,
125,DC-U1D22-2309452,,,,,,
126,DC-U1D22-2309496,,,,,,
127,DC-U1D22-2309675,,,,,,
128,DC-U1D22-2309705,,,,,,
129,DC-U1D22-2309745,,,,,,
130,DC-U1D22-2309846,,,,,,
131,DC-U1D22-2309911,,,,,,
132,DC-U1D22-2310111,,,,,,
133,DC-U1D22-2310284,,,,,,
134,DC-U1D22-2309613,,,,,,3593621.92
135,DC-U1D22-2309756,,,,,,
136,DC-U1D22-2309904,,,,,,
137,DC-U1D22-2309930,,,,,,
138,DC-U1D22-2309979,,,,,,
139,DC-U1D22-2310010,,,,,,
140,DC-U1D22-2310054,,,,,,
141,DC-U1D22-2310127,,,,,,
142,DC-U1D22-2310217,,,,,,
143,DC-U1D22-2309729,,,,,,
144,DC-U1D22-2308415,,,,,,
145,DC-U1D22-2309943,,,,,,
146,DC-U1D22-2310280,,,,,,
147,DC-U1D22-2309677,,,,,,
148,DC-U1D22-2310110,,,,,,
149,DC-U1D22-2310138,,,,,,
150,DC-U1D22-2310231,,,,,,
151,DC-U1D22-2309671,,,,,,
152,DC-U1D22-2309741,,,,,,
153,DC-U1D22-2310271,,,,,,
